entity,source
Bolesław Krzywousty,100 bohaterów lektur
Marek Krzywousty,100 bohaterów lektur
Gustaw Krzywousty,100 bohaterów lektur
Jürgen Krzywousty,100 bohaterów lektur
Abelard,1600 postaci literackich
Aecjusz Flawiusz,1600 postaci literackich
Aleksy (święty),1600 postaci literackich
Antoniusz Marek,1600 postaci literackich
Beniowski Maurycy August,1600 postaci literackich
Bergerac Savinien Cyrano de,1600 postaci literackich
Bolesław II Śmiały,1600 postaci literackich
Brutus Marek,1600 postaci literackich
Brytanik,1600 postaci literackich
Castro Inćs de,1600 postaci literackich
Cenci Beatrice,1600 postaci literackich
Cezar Juliusz,1600 postaci literackich
Chłopicki Józef,1600 postaci literackich
Chmielnicki Bohdan Zenobi,1600 postaci literackich
Cosel Anna,1600 postaci literackich
Cyd (Don Rodrygo),1600 postaci literackich
Danton Georges Jacques,1600 postaci literackich
Don Fernand,1600 postaci literackich
Drakula (Vlad Palownik),1600 postaci literackich
Dymitr Samozwaniec,1600 postaci literackich
Egmont Lamoral,1600 postaci literackich
Faust Johann,1600 postaci literackich
Francesca z Rimini,1600 postaci literackich
Franciszek z Asyżu,1600 postaci literackich
Godfryd z Bouillon (Gofred),1600 postaci literackich
Godiva Lady,1600 postaci literackich
Gótz von Berlichingen,1600 postaci literackich
Harun ar-Raszid,1600 postaci literackich
Hauser Kaspar,1600 postaci literackich
Heloiza,1600 postaci literackich
Henryk IV (1),1600 postaci literackich
Henryk V,1600 postaci literackich
Henryk VIII,1600 postaci literackich
Hiawatha (Hajawata),1600 postaci literackich
Homburg Friedrich von (książę),1600 postaci literackich
Janośik Juraj (Janosik Jerzy),1600 postaci literackich
Jimena (Ximena),1600 postaci literackich
Joanna (święta - Joanna d'Arc),1600 postaci literackich
Kaligula,1600 postaci literackich
Kazimierz III Wielki,1600 postaci literackich
Kleopatra,1600 postaci literackich
Konstanty Pawłowicz (wielki książę),1600 postaci literackich
Kossakowski Szczęsny,1600 postaci literackich
Kossakowski Szymon,1600 postaci literackich
Krzeptowski Jan (zw. Sabałą),1600 postaci literackich
Ksiądz Marek (Marek Jandołowicz),1600 postaci literackich
Lecouvreur Adrianna,1600 postaci literackich
Lorenzaccio,1600 postaci literackich
MacGregor Robert (Rob Roy),1600 postaci literackich
Machnicki Jan,1600 postaci literackich
Madame Sans-Gene,1600 postaci literackich
Maria Stuart,1600 postaci literackich
Mazepa Iwan,1600 postaci literackich
Mniszchówna Maryna,1600 postaci literackich
Munchhausen Karl Friedrich von,1600 postaci literackich
Napierski-Kostka Aleksander,1600 postaci literackich
Napoleon I (Napoleon Bonaparte),1600 postaci literackich
Napoleon II (książę Reichstadtu),1600 postaci literackich
Neron,1600 postaci literackich
Ordon Julian Konstanty,1600 postaci literackich
Petroniusz,1600 postaci literackich
Poniatowski Józef,1600 postaci literackich
Radziwiłł Bogusław,1600 postaci literackich
Radziwiłł Janusz,1600 postaci literackich
Radziwiłłówna Barbara,1600 postaci literackich
Rienzi Cola di,1600 postaci literackich
Roland (Orlando),1600 postaci literackich
Ryszard Lwie Serce,1600 postaci literackich
Ryszard III,1600 postaci literackich
Senator (Nowosilcow),1600 postaci literackich
Stańczyk,1600 postaci literackich
Sułkowski Józef,1600 postaci literackich
Szczepanowski Stanisław (święty Stanisław),1600 postaci literackich
Szela Jakub,1600 postaci literackich
Tankred,1600 postaci literackich
Tannhauser,1600 postaci literackich
Torquemada Tomas de,1600 postaci literackich
Voigt Wilhelm,1600 postaci literackich
Wild Jonathan,1600 postaci literackich
Wiśniowiecki Jeremi,1600 postaci literackich
Zawisza Czarny,1600 postaci literackich
Zborowski Samuel,1600 postaci literackich
