entity,source
Lozanna,Biblioteka Narodowa - rekordy literackie
Harrachov,Biblioteka Narodowa - rekordy literackie
Budy Głogowskie,Biblioteka Narodowa - rekordy literackie
Sidzina,Biblioteka Narodowa - rekordy literackie
Madera,Biblioteka Narodowa - rekordy literackie
Patagonia,Biblioteka Narodowa - rekordy literackie
Lubomin,Biblioteka Narodowa - rekordy literackie
Geelong,Biblioteka Narodowa - rekordy literackie
Śląsk Czeski,Biblioteka Narodowa - rekordy literackie
Seszele,Biblioteka Narodowa - rekordy literackie
Powórsk,Biblioteka Narodowa - rekordy literackie
Archidiecezja wrocławska,Biblioteka Narodowa - rekordy literackie
ZSRR,Biblioteka Narodowa - rekordy literackie
Barlinek,Biblioteka Narodowa - rekordy literackie
Chiny,Biblioteka Narodowa - rekordy literackie
Włocławek,Biblioteka Narodowa - rekordy literackie
Singapur,Biblioteka Narodowa - rekordy literackie
Afganistan,Biblioteka Narodowa - rekordy literackie
Czarnobyl,Biblioteka Narodowa - rekordy literackie
Zwoleń,Biblioteka Narodowa - rekordy literackie
At-Tajjiba,Biblioteka Narodowa - rekordy literackie
Las Vegas,Biblioteka Narodowa - rekordy literackie
Stronie Śląskie,Biblioteka Narodowa - rekordy literackie
Kruszwica,Biblioteka Narodowa - rekordy literackie
Armenia,Biblioteka Narodowa - rekordy literackie
Słupca,Biblioteka Narodowa - rekordy literackie
Stary Białcz,Biblioteka Narodowa - rekordy literackie
Radzyń Podlaski,Biblioteka Narodowa - rekordy literackie
Kanał Białomorsko-Bałtycki,Biblioteka Narodowa - rekordy literackie
Gmina Przechlewo,Biblioteka Narodowa - rekordy literackie
Kozienice,Biblioteka Narodowa - rekordy literackie
Góry Kaczawskie,Biblioteka Narodowa - rekordy literackie
Półwysep Arabski,Biblioteka Narodowa - rekordy literackie
Myślenice,Biblioteka Narodowa - rekordy literackie
Górka Klasztorna,Biblioteka Narodowa - rekordy literackie
Sułkowice,Biblioteka Narodowa - rekordy literackie
Essex,Biblioteka Narodowa - rekordy literackie
Tamilnadu,Biblioteka Narodowa - rekordy literackie
Belgrad,Biblioteka Narodowa - rekordy literackie
Żabia Wola,Biblioteka Narodowa - rekordy literackie
Górnośląskie Zagłębie Węglowe,Biblioteka Narodowa - rekordy literackie
Wałbrzych,Biblioteka Narodowa - rekordy literackie
Thalerhof,Biblioteka Narodowa - rekordy literackie
Koło,Biblioteka Narodowa - rekordy literackie
Milówka,Biblioteka Narodowa - rekordy literackie
Grębocice,Biblioteka Narodowa - rekordy literackie
Brodnica,Biblioteka Narodowa - rekordy literackie
Kreta,Biblioteka Narodowa - rekordy literackie
Nowa Szkocja,Biblioteka Narodowa - rekordy literackie
Buriacja,Biblioteka Narodowa - rekordy literackie
Hucisko Oleskie,Biblioteka Narodowa - rekordy literackie
Gołdap,Biblioteka Narodowa - rekordy literackie
Odra,Biblioteka Narodowa - rekordy literackie
Zaporoże,Biblioteka Narodowa - rekordy literackie
Grecy,Biblioteka Narodowa - rekordy literackie
Nowa Gwinea,Biblioteka Narodowa - rekordy literackie
Zgorzelec,Biblioteka Narodowa - rekordy literackie
Dakar,Biblioteka Narodowa - rekordy literackie
Eisenach,Biblioteka Narodowa - rekordy literackie
Turew,Biblioteka Narodowa - rekordy literackie
Chełmno,Biblioteka Narodowa - rekordy literackie
Greenwich,Biblioteka Narodowa - rekordy literackie
Kutno,Biblioteka Narodowa - rekordy literackie
Brańszczyk,Biblioteka Narodowa - rekordy literackie
Pustynia Gibsona,Biblioteka Narodowa - rekordy literackie
Mauzoleum Hindenburga,Biblioteka Narodowa - rekordy literackie
Udmurcja,Biblioteka Narodowa - rekordy literackie
Powiśle,Biblioteka Narodowa - rekordy literackie
Edynburg,Biblioteka Narodowa - rekordy literackie
Wopławki,Biblioteka Narodowa - rekordy literackie
Mazury,Biblioteka Narodowa - rekordy literackie
Żegary,Biblioteka Narodowa - rekordy literackie
Gniewczyna Tryniecka,Biblioteka Narodowa - rekordy literackie
Frankówka,Biblioteka Narodowa - rekordy literackie
Biała Podlaska,Biblioteka Narodowa - rekordy literackie
Vaucluse,Biblioteka Narodowa - rekordy literackie
Golub-Dobrzyń,Biblioteka Narodowa - rekordy literackie
Galicja,Biblioteka Narodowa - rekordy literackie
Chodzież,Biblioteka Narodowa - rekordy literackie
La Mancha,Biblioteka Narodowa - rekordy literackie
Santiago,Biblioteka Narodowa - rekordy literackie
Kącik,Biblioteka Narodowa - rekordy literackie
Województwo kujawsko-pomorskie,Biblioteka Narodowa - rekordy literackie
Kostkowo,Biblioteka Narodowa - rekordy literackie
Dubrownik,Biblioteka Narodowa - rekordy literackie
Olesko,Biblioteka Narodowa - rekordy literackie
Teby,Biblioteka Narodowa - rekordy literackie
Stołężyn,Biblioteka Narodowa - rekordy literackie
Wawer,Biblioteka Narodowa - rekordy literackie
Londyn,Biblioteka Narodowa - rekordy literackie
Wola Zarczycka,Biblioteka Narodowa - rekordy literackie
Bieszczady Zachodnie,Biblioteka Narodowa - rekordy literackie
Oborniki Śląskie,Biblioteka Narodowa - rekordy literackie
Bahrajn,Biblioteka Narodowa - rekordy literackie
London,Biblioteka Narodowa - rekordy literackie
Norymberga,Biblioteka Narodowa - rekordy literackie
Londyn,Biblioteka Narodowa - rekordy literackie
Palmares,Biblioteka Narodowa - rekordy literackie
Łabuńki Pierwsze,Biblioteka Narodowa - rekordy literackie
Jerycho,Biblioteka Narodowa - rekordy literackie
Wykluczenie społeczne,Biblioteka Narodowa - rekordy literackie
Lublin,Biblioteka Narodowa - rekordy literackie
Mount Everest,Biblioteka Narodowa - rekordy literackie
Zwierzęta,Biblioteka Narodowa - rekordy literackie
Tucson,Biblioteka Narodowa - rekordy literackie
Jezioro Licheńskie,Biblioteka Narodowa - rekordy literackie
Kościół katolicki,Biblioteka Narodowa - rekordy literackie
Mars,Biblioteka Narodowa - rekordy literackie
Broad Peak,Biblioteka Narodowa - rekordy literackie
Antonin,Biblioteka Narodowa - rekordy literackie
Angoulême,Biblioteka Narodowa - rekordy literackie
Gozdnica,Biblioteka Narodowa - rekordy literackie
