entity,source
Catherine Banner,Biblioteka Narodowa - kartoteka autorytatywna
Maria Giżycka-Pietrzak,Biblioteka Narodowa - kartoteka autorytatywna
Paul Neuhuys,Biblioteka Narodowa - kartoteka autorytatywna
Angel McCoy,Biblioteka Narodowa - kartoteka autorytatywna
Janusz Laskowski,Biblioteka Narodowa - kartoteka autorytatywna
Mirosław Bolesławski,Biblioteka Narodowa - kartoteka autorytatywna
Nina Kiriki Hoffman,Biblioteka Narodowa - kartoteka autorytatywna
Victor Tausk,Biblioteka Narodowa - kartoteka autorytatywna
Adam Maldzis,Biblioteka Narodowa - kartoteka autorytatywna
Gleb Ivanovič Uspenskij,Biblioteka Narodowa - kartoteka autorytatywna
Ignacy Nikorowicz,Biblioteka Narodowa - kartoteka autorytatywna
Matt Forbeck,Biblioteka Narodowa - kartoteka autorytatywna
André Billy,Biblioteka Narodowa - kartoteka autorytatywna
Franz Evers,Biblioteka Narodowa - kartoteka autorytatywna
Joel Chandler Harris,Biblioteka Narodowa - kartoteka autorytatywna
Jan A. Harris,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Hulewicz,Biblioteka Narodowa - kartoteka autorytatywna
Ludwik Bruner,Biblioteka Narodowa - kartoteka autorytatywna
Ivan Menchell,Biblioteka Narodowa - kartoteka autorytatywna
Georg Harrasser,Biblioteka Narodowa - kartoteka autorytatywna
Ramón López Velarde,Biblioteka Narodowa - kartoteka autorytatywna
Jacques Brenner,Biblioteka Narodowa - kartoteka autorytatywna
Dacia Maraini,Biblioteka Narodowa - kartoteka autorytatywna
Charles Rodda,Biblioteka Narodowa - kartoteka autorytatywna
Michał Malinowski,Biblioteka Narodowa - kartoteka autorytatywna
She Lao,Biblioteka Narodowa - kartoteka autorytatywna
Bronisława Mach-Mugler-Sartorius,Biblioteka Narodowa - kartoteka autorytatywna
Jody Hill,Biblioteka Narodowa - kartoteka autorytatywna
Quentin Crisp,Biblioteka Narodowa - kartoteka autorytatywna
Louis Nicolas Philippe Auguste de Forbin,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Waligórski,Biblioteka Narodowa - kartoteka autorytatywna
Leslie Waller,Biblioteka Narodowa - kartoteka autorytatywna
John Gower,Biblioteka Narodowa - kartoteka autorytatywna
Andreas Munck,Biblioteka Narodowa - kartoteka autorytatywna
Mieczysław Jan Warszawski,Biblioteka Narodowa - kartoteka autorytatywna
Friedrich Ludwig Weidig,Biblioteka Narodowa - kartoteka autorytatywna
Hoyt W. Fuller,Biblioteka Narodowa - kartoteka autorytatywna
Harry Macourek,Biblioteka Narodowa - kartoteka autorytatywna
Margot Vanderstraeten,Biblioteka Narodowa - kartoteka autorytatywna
Antje Rávic Strubel,Biblioteka Narodowa - kartoteka autorytatywna
José María Delgado,Biblioteka Narodowa - kartoteka autorytatywna
Nataša Kramberger,Biblioteka Narodowa - kartoteka autorytatywna
Solomon Judson,Biblioteka Narodowa - kartoteka autorytatywna
Leonora Carrington,Biblioteka Narodowa - kartoteka autorytatywna
Bolesław Wójcicki,Biblioteka Narodowa - kartoteka autorytatywna
Marie Majerová,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Jerzy Czajkowski,Biblioteka Narodowa - kartoteka autorytatywna
Marek Pruchniewski,Biblioteka Narodowa - kartoteka autorytatywna
