entity,source
Dyplom Ministra Spraw Zagranicznych,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Nagroda Poetycka im. Kazimiery Iłłakowiczówny za najlepszy książkowy debiut poetycki roku,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Paszport Polityki,Wikipedia - Polskie nagrody literackie | Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Eurocon - Europejski Kongres SF,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Festiwal Polskich Filmów Fabularnych,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Konkurs Poetycki O Buławę Hetmańską,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Lubuskie Lato Filmowe w Łagowie,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Nagroda im. Stanisława Ignacego Witkiewicza za propagowanie kultury polskiej za granicą,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Nagroda im. Włodzimierza Pietrzaka,Wikipedia - Polskie nagrody literackie | Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Ogólnopolski Konkurs Literacki im. Józefa Ignacego Kraszewskiego w dziedzinie poezji i prozy o dowolnej tematyce,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Ogólnopolski Konkurs Poetycki im. Haliny Poświatowskiej w ramach Ogólnopolskich Konfrontacji Poetyckich Częstochowa-Kłobuck,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Ogólnopolski Konkurs Poetycki o nagrodę Jesiennej Chryzantemy,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Pióro Fredry - Konkurs na Najlepszą Książkę Roku w ramach Spotkań Wydawców Dobrej Książki we Wrocławiu,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
U progu Kresów - Ogólnopolski Konkurs Poetycki,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Wiktor - nagroda za telewizyjną osobowość roku,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Wrocławskie Spotkania Teatrów Jednego Aktora i Małych Form Teatralnych WROSTJA we Wrocławiu,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Złote Pióro - konkurs na współczesną powieść dla kobiet,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Bliżej Teatru - Ogólnopolski Konkurs,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Collage Teatralny - festiwal teatrów alternatywnych,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Dziecięcy Bestseller Roku - nagroda za najciekawsze książki dla dzieci i młodzieży,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Festiwal Polskich Filmów Fabularnych w Gdyni,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Fortalicje - Międzynarodowy Festiwal Sztuki Improwizacji,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
Ja i mój świat - Ogólnopolski Konkurs Literacki im. Agnieszki Bartol,Polska Bibliografia Literacka - kartoteka cykli wydarzeń
