entity,source
Myron Bolitar,Biblioteka Narodowa - kartoteka autorytatywna
Fredric Drum,Biblioteka Narodowa - kartoteka autorytatywna
Harry Dresden,Biblioteka Narodowa - kartoteka autorytatywna
Kaczor Donald,Biblioteka Narodowa - kartoteka autorytatywna
Lucky Santangelo,Biblioteka Narodowa - kartoteka autorytatywna
Clifford,Biblioteka Narodowa - kartoteka autorytatywna
Rycerze Jedi,Biblioteka Narodowa - kartoteka autorytatywna
Anakin Skywalker,Biblioteka Narodowa - kartoteka autorytatywna
Nina Warwiłow,Biblioteka Narodowa - kartoteka autorytatywna
Chloe Lane,Biblioteka Narodowa - kartoteka autorytatywna
Alex King,Biblioteka Narodowa - kartoteka autorytatywna
Dooley Kavanagh,Biblioteka Narodowa - kartoteka autorytatywna
Werginia,Biblioteka Narodowa - kartoteka autorytatywna
Max Wolfe,Biblioteka Narodowa - kartoteka autorytatywna
Jan Skrzetuski,Biblioteka Narodowa - kartoteka autorytatywna
Marchołt,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Epoki literackie. Wielki leksykon literatury polskiej | Słownik bohaterów literackich | Słownik postaci literackich (Makowiecki)
Fineasz i Ferb,Biblioteka Narodowa - kartoteka autorytatywna
Zack Herry,Biblioteka Narodowa - kartoteka autorytatywna
Eve Duncan,Biblioteka Narodowa - kartoteka autorytatywna
Veronika Lundborg,Biblioteka Narodowa - kartoteka autorytatywna
Leszek Peszek,Biblioteka Narodowa - kartoteka autorytatywna
George Smiley,Biblioteka Narodowa - kartoteka autorytatywna
Zuzanna Pevensie,Biblioteka Narodowa - kartoteka autorytatywna
Fredek,Biblioteka Narodowa - kartoteka autorytatywna
Cthulhu,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Pobratyńska,Biblioteka Narodowa - kartoteka autorytatywna
Mowgli,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Słownik bohaterów literackich | Słownik postaci literackich (Makowiecki)
Deadpool,Biblioteka Narodowa - kartoteka autorytatywna
Cassidy Bond,Biblioteka Narodowa - kartoteka autorytatywna
D. D. Warren,Biblioteka Narodowa - kartoteka autorytatywna
Sherlock Holmes,Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Angry Birds,Biblioteka Narodowa - kartoteka autorytatywna
Alcina,Biblioteka Narodowa - kartoteka autorytatywna
Teofil Olkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Evgenij Onegin,Biblioteka Narodowa - kartoteka autorytatywna
Adam Dalgliesh,Biblioteka Narodowa - kartoteka autorytatywna
Fantazy,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Mateuszek,Biblioteka Narodowa - kartoteka autorytatywna
Horpyna,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Miś Okruszek,Biblioteka Narodowa - kartoteka autorytatywna
Dzielna Do,Biblioteka Narodowa - kartoteka autorytatywna
Michał Ordyński,Biblioteka Narodowa - kartoteka autorytatywna
Kukutis,Biblioteka Narodowa - kartoteka autorytatywna
Gideon Crew,Biblioteka Narodowa - kartoteka autorytatywna
Masza i Niedźwiedź,Biblioteka Narodowa - kartoteka autorytatywna
Cztery,Biblioteka Narodowa - kartoteka autorytatywna
Tris Prior,Biblioteka Narodowa - kartoteka autorytatywna
Vaiana,Biblioteka Narodowa - kartoteka autorytatywna
