entity,source
3D Blue Point Art Gallery,Biblioteka Narodowa - kartoteka autorytatywna
A.G. Leventis Gallery,Biblioteka Narodowa - kartoteka autorytatywna
Aargauische Kantonsbibliothek,Biblioteka Narodowa - kartoteka autorytatywna
Abdulla Tukain Kulttuuriseura,Biblioteka Narodowa - kartoteka autorytatywna
Abgineh Museum of Tehran,Biblioteka Narodowa - kartoteka autorytatywna
Abteilung Münzkabinett,Biblioteka Narodowa - kartoteka autorytatywna
Academie de France,Biblioteka Narodowa - kartoteka autorytatywna
Académie nationale de musique et de dance,Biblioteka Narodowa - kartoteka autorytatywna
Accademia delle Arti del Disegno,Biblioteka Narodowa - kartoteka autorytatywna
Accademia di belle arti,Biblioteka Narodowa - kartoteka autorytatywna
Advocates Library,Biblioteka Narodowa - kartoteka autorytatywna
Ago Modena Fabbriche Culturali,Biblioteka Narodowa - kartoteka autorytatywna
Airport Society,Biblioteka Narodowa - kartoteka autorytatywna
Akademia Świętego Łukasza,Biblioteka Narodowa - kartoteka autorytatywna
"Akademicki Teatrzyk Literacko-Artystyczny ""Nasze Oczko""",Biblioteka Narodowa - kartoteka autorytatywna
Akademickie Centrum Designu,Biblioteka Narodowa - kartoteka autorytatywna
"Akademickie Centrum Kultury ""Pałacyk""",Biblioteka Narodowa - kartoteka autorytatywna
"Akademickie Centrum Kultury ""Sepularium""",Biblioteka Narodowa - kartoteka autorytatywna
"Akademickie Centrum Kultury i Mediów UMCS ""Chatka Żaka""",Biblioteka Narodowa - kartoteka autorytatywna
"Akademickie Centrum Kultury i Sztuki ""Od Nowa""",Biblioteka Narodowa - kartoteka autorytatywna
Akademìčnij teatr ìmenì Lesâ Kurbasa,Biblioteka Narodowa - kartoteka autorytatywna
Akademija nauka i umjetnosti Bosne i Hercegovine,Biblioteka Narodowa - kartoteka autorytatywna
Akita Kenritsu Bijutsukan,Biblioteka Narodowa - kartoteka autorytatywna
Aktywny Dom Alternatywny Puławska,Biblioteka Narodowa - kartoteka autorytatywna
Albertinum,Biblioteka Narodowa - kartoteka autorytatywna
Aleph Galería,Biblioteka Narodowa - kartoteka autorytatywna
Allard Pierson Museum,Biblioteka Narodowa - kartoteka autorytatywna
Allentown Art Museum,Biblioteka Narodowa - kartoteka autorytatywna
Allgemeiner Deutscher Schulverein zur Erhaltung des Deutschtums im Auslande,Biblioteka Narodowa - kartoteka autorytatywna
Alphacentauri Gallery,Biblioteka Narodowa - kartoteka autorytatywna
Alte Nationalgalerie,Biblioteka Narodowa - kartoteka autorytatywna
Altes Pfandhaus Köln,Biblioteka Narodowa - kartoteka autorytatywna
Altonaer Museum,Biblioteka Narodowa - kartoteka autorytatywna
Amasya Arkeoloji ve Mumya Müzesi,Biblioteka Narodowa - kartoteka autorytatywna
"Amatorski Klub Filmowy ""Rotor-Film""",Biblioteka Narodowa - kartoteka autorytatywna
Amatorski Teatr Wesołków,Biblioteka Narodowa - kartoteka autorytatywna
American Folk Art Museum,Biblioteka Narodowa - kartoteka autorytatywna
Amerika-Gedenkbibliothek,Biblioteka Narodowa - kartoteka autorytatywna
Anadolu Medeniyetleri Müzesi,Biblioteka Narodowa - kartoteka autorytatywna
Angermuseum,Biblioteka Narodowa - kartoteka autorytatywna
Ankara Devlet Resim ve Heykel Müzesi,Biblioteka Narodowa - kartoteka autorytatywna
Anne Frank House,Biblioteka Narodowa - kartoteka autorytatywna
Antikenmuseum Berlin,Biblioteka Narodowa - kartoteka autorytatywna
Antiquities Museum of Tel Aviv-Jaffa,Biblioteka Narodowa - kartoteka autorytatywna
Antydepresyjna Fundacja Sztuki,Biblioteka Narodowa - kartoteka autorytatywna
Anya and Andrew Shiva Gallery,Biblioteka Narodowa - kartoteka autorytatywna
Arbeitsgemeinschaft des Kunsthandwerks Nordrhein-Westfalen,Biblioteka Narodowa - kartoteka autorytatywna
Archiwum Artystyczne i Biblioteka Teatru im. Juliusza Słowackiego,Biblioteka Narodowa - kartoteka autorytatywna
Archiwum Kultury Podlasia,Biblioteka Narodowa - kartoteka autorytatywna
Arhitekturni Muzej,Biblioteka Narodowa - kartoteka autorytatywna
Arkeologisk museum,Biblioteka Narodowa - kartoteka autorytatywna
Armand Hammer Museum of Art and Cultural Center,Biblioteka Narodowa - kartoteka autorytatywna
Armeemuseum der DDR,Biblioteka Narodowa - kartoteka autorytatywna
ARoS Aarhus Kunstmuseum,Biblioteka Narodowa - kartoteka autorytatywna
Art Agenda Nova,Biblioteka Narodowa - kartoteka autorytatywna
Art Ludique - Le Musée,Biblioteka Narodowa - kartoteka autorytatywna
Art Main Station by mia,Biblioteka Narodowa - kartoteka autorytatywna
Art Museum of the Americas,Biblioteka Narodowa - kartoteka autorytatywna
Art Trace Gallery,Biblioteka Narodowa - kartoteka autorytatywna
Art-Galeria,Biblioteka Narodowa - kartoteka autorytatywna
Arteko Arte Garaikidearen Galeria,Biblioteka Narodowa - kartoteka autorytatywna
Arti et Amicitiae,Biblioteka Narodowa - kartoteka autorytatywna
Artillerijskij muzej,Biblioteka Narodowa - kartoteka autorytatywna
Asian Art Museum,Biblioteka Narodowa - kartoteka autorytatywna
Asociaţia Ucrainenilor din Republica Moldova,Biblioteka Narodowa - kartoteka autorytatywna
Aspen Art Museum,Biblioteka Narodowa - kartoteka autorytatywna
Assamblage - The National Association for Contemporary Jewelry,Biblioteka Narodowa - kartoteka autorytatywna
"Associazione Italiana dei Collezionisti, Artisti e Amatori del Bianco e Nero, dell'Ex Libris e del Libro Figurato",Biblioteka Narodowa - kartoteka autorytatywna
"Atatürk Kültür, Dil ve Tarih Yüksek Kurumu",Biblioteka Narodowa - kartoteka autorytatywna
Atelier Aparat Caffe,Biblioteka Narodowa - kartoteka autorytatywna
Ateneumin taidemuseo,Biblioteka Narodowa - kartoteka autorytatywna
Athenaeumbibliotheek,Biblioteka Narodowa - kartoteka autorytatywna
Atlas Sztuki,Biblioteka Narodowa - kartoteka autorytatywna
Augustinermuseum,Biblioteka Narodowa - kartoteka autorytatywna
Auslandgesellschaft Nordhein-Westfalen,Biblioteka Narodowa - kartoteka autorytatywna
Bachhaus Eisenach Museum,Biblioteka Narodowa - kartoteka autorytatywna
Backa teater,Biblioteka Narodowa - kartoteka autorytatywna
"Bałucki Ośrodek Kultury ""Na Żubardzkiej""",Biblioteka Narodowa - kartoteka autorytatywna
Bauhaus-Museum,Biblioteka Narodowa - kartoteka autorytatywna
Bawarska Biblioteka Państwowa,Biblioteka Narodowa - kartoteka autorytatywna
Bayerische Staatsgemäldesammlungen,Biblioteka Narodowa - kartoteka autorytatywna
Bayerisches Staatsballett,Biblioteka Narodowa - kartoteka autorytatywna
Baza Zbożowa,Biblioteka Narodowa - kartoteka autorytatywna
Beethoven Museum,Biblioteka Narodowa - kartoteka autorytatywna
Beijing Shi wen xue yi shu jie lian he hui‪,Biblioteka Narodowa - kartoteka autorytatywna
Bĕlorusskìj Muzykal'no-Dramatičeskìj Kružok'',Biblioteka Narodowa - kartoteka autorytatywna
Bełchatowskie Towarzystwo Fotograficzne,Biblioteka Narodowa - kartoteka autorytatywna
Berliner Medizinhistorisches Museum,Biblioteka Narodowa - kartoteka autorytatywna
Berman Museum of World History,Biblioteka Narodowa - kartoteka autorytatywna
Bernard Chauveau Édition,Biblioteka Narodowa - kartoteka autorytatywna
"Beskidzki Dom Zielin ""Przytulia""",Biblioteka Narodowa - kartoteka autorytatywna
Beskidzkie Towarzystwo Fotograficzne,Biblioteka Narodowa - kartoteka autorytatywna
Bezirksgruppe Ostfriesland,Biblioteka Narodowa - kartoteka autorytatywna
Bharatiya Kala Kendra Ramlila,Biblioteka Narodowa - kartoteka autorytatywna
Bialskie Centrum Kultury im. Bogusława Kaczyńskiego,Biblioteka Narodowa - kartoteka autorytatywna
Bialskopodlaskie Stowarzyszenie Jazzowe,Biblioteka Narodowa - kartoteka autorytatywna
Białogardzka Biblioteka Publiczna im. Karola Estreichera,Biblioteka Narodowa - kartoteka autorytatywna
"Białoruskie Stowarzyszenie Literackie ""Białowieża""",Biblioteka Narodowa - kartoteka autorytatywna
Biały Spichlerz,Biblioteka Narodowa - kartoteka autorytatywna
Biały Spichlerz,Biblioteka Narodowa - kartoteka autorytatywna
Bìbìoteka Teologìčnogo Ìnstitutu ìm. sv. Josìfa Bil'čevs'kogo,Biblioteka Narodowa - kartoteka autorytatywna
Biblary,Biblioteka Narodowa - kartoteka autorytatywna
Biblbioteka Bractwa NMP Królowej Korony Polskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Adam Mickievicz,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Augusta,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca central da Universidade de São Paulo,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteca Centrală Universitară ""Mihai Eminescu""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca de la Universidad de Valladolid,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca de México José Vasconcelos,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteca del Senato ""Giovanni Spadolini""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca do Palácio Nacional de Mafra,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Geral da Universidade de Coimbra,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Luis Ángel Arango.,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Nazionale Braidense,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Nazionale Marciana,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Pedro Mir,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Ugo da Como,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca universitaria Alessandrina,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria de Santiago de Compostela,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria de Valencia,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteca Universitaria di Pisa,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteka ""Narodnego Domu""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Akademicka im. prof. Jerzego Altkorna Akademii WSB,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Akademii Kaliskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Akademii Sztuk Pięknych,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Aleksandryjska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Ambrozjańska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Antoniana,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteka Archidiecezjalnego Seminarium Misyjnego ""Redemptoris Mater""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Archidiecezji Wrocławskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Archiwalna,Biblioteka Narodowa - kartoteka autorytatywna
