entity,source
Rafał Terszak,Biblioteka Narodowa - kartoteka autorytatywna
Arnaud Genon,Biblioteka Narodowa - kartoteka autorytatywna
Edgar W. Schneider,Biblioteka Narodowa - kartoteka autorytatywna
Carl J. Gomolka,Biblioteka Narodowa - kartoteka autorytatywna
Adam Maldzis,Biblioteka Narodowa - kartoteka autorytatywna
Svetlana Aleksandrovna Fokina,Biblioteka Narodowa - kartoteka autorytatywna
Tymon Adamczewski,Biblioteka Narodowa - kartoteka autorytatywna
Magdalena Baer,Biblioteka Narodowa - kartoteka autorytatywna
Halina Stasiak,Biblioteka Narodowa - kartoteka autorytatywna
Zenon Ciesielski,Biblioteka Narodowa - kartoteka autorytatywna
Svâtlana Andrèeŭna Buvìna,Biblioteka Narodowa - kartoteka autorytatywna
Johannes De Spauter,Biblioteka Narodowa - kartoteka autorytatywna
Anna Przyborska-Borkowicz,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Janas,Biblioteka Narodowa - kartoteka autorytatywna
Ganna Vìktorìvna Davidova-Bìla,Biblioteka Narodowa - kartoteka autorytatywna
Katarzyna Cieplińska,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Ciemniewski,Biblioteka Narodowa - kartoteka autorytatywna
Charles Pellat,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Chyła,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Chyla-Smyk,Biblioteka Narodowa - kartoteka autorytatywna
Mirosława Czetyrba-Piszczako,Biblioteka Narodowa - kartoteka autorytatywna
Robert Mackinlay Polhemus,Biblioteka Narodowa - kartoteka autorytatywna
Zbyszek Czerwiński,Biblioteka Narodowa - kartoteka autorytatywna
Magdalena Chlasta-Dzięciołowska,Biblioteka Narodowa - kartoteka autorytatywna
Katarzyna Anna Chiżyńska,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Charkot,Biblioteka Narodowa - kartoteka autorytatywna
Sara Suárez Solís,Biblioteka Narodowa - kartoteka autorytatywna
Adam Münnich,Biblioteka Narodowa - kartoteka autorytatywna
Joseph Frank,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Kapuścik,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Fox,Biblioteka Narodowa - kartoteka autorytatywna
Zbigniew Mazur,Biblioteka Narodowa - kartoteka autorytatywna
Hermann Fritsche,Biblioteka Narodowa - kartoteka autorytatywna
Johann Georg Trendelenburg,Biblioteka Narodowa - kartoteka autorytatywna
Mira Menac-Mihalić,Biblioteka Narodowa - kartoteka autorytatywna
Slavica Srbinovska,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Anatol'evič Ilûšin,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Lechowski,Biblioteka Narodowa - kartoteka autorytatywna
Vladimir Agrigoroaei,Biblioteka Narodowa - kartoteka autorytatywna
Ľudovít Štúr,Biblioteka Narodowa - kartoteka autorytatywna
Olena Budarina,Biblioteka Narodowa - kartoteka autorytatywna
Franciszek Dudek,Biblioteka Narodowa - kartoteka autorytatywna
John M. Jeep,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Ochman,Biblioteka Narodowa - kartoteka autorytatywna
John William Basore,Biblioteka Narodowa - kartoteka autorytatywna
Eduard Loch,Biblioteka Narodowa - kartoteka autorytatywna
Semen Mihajlovič Šahovs'kij,Biblioteka Narodowa - kartoteka autorytatywna
Wasyl Machno,Biblioteka Narodowa - kartoteka autorytatywna
Pedro M. Cátedra,Biblioteka Narodowa - kartoteka autorytatywna
Bogusław Grodzki,Biblioteka Narodowa - kartoteka autorytatywna
Natalia Harbut,Biblioteka Narodowa - kartoteka autorytatywna
Hilde Artner,Biblioteka Narodowa - kartoteka autorytatywna
Ûrìj Bogdanovič Zalìznâk,Biblioteka Narodowa - kartoteka autorytatywna
Leonor María Martínez Serrano,Biblioteka Narodowa - kartoteka autorytatywna
Małgorzata Żarczyńska,Biblioteka Narodowa - kartoteka autorytatywna
Olga Katafiasz,Biblioteka Narodowa - kartoteka autorytatywna
Małgorzata Kolankowska,Biblioteka Narodowa - kartoteka autorytatywna
Grażyna Szewczyk,Biblioteka Narodowa - kartoteka autorytatywna
Vladimír Svatoň,Biblioteka Narodowa - kartoteka autorytatywna
Gerard Manley Hopkins,Biblioteka Narodowa - kartoteka autorytatywna
Maria Honowska,Biblioteka Narodowa - kartoteka autorytatywna
Adelina Lûbomirova Strandževa,Biblioteka Narodowa - kartoteka autorytatywna
Helena Hleb-Koszańska,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Szanciło,Biblioteka Narodowa - kartoteka autorytatywna
Beata Domosławska,Biblioteka Narodowa - kartoteka autorytatywna
Nikolaj F. Prihod'ko,Biblioteka Narodowa - kartoteka autorytatywna
Ûrij Nikolaevič Čumakov,Biblioteka Narodowa - kartoteka autorytatywna
Tetâna Êvgenìvna Masic'ka,Biblioteka Narodowa - kartoteka autorytatywna
Iveta Pernická,Biblioteka Narodowa - kartoteka autorytatywna
Grażyna Balkowska,Biblioteka Narodowa - kartoteka autorytatywna
Marek Zimnak,Biblioteka Narodowa - kartoteka autorytatywna
Dag Halvorsen,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Gronczewski,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Vogelgesang-Doncer,Biblioteka Narodowa - kartoteka autorytatywna
Jacek Barański,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Bata-Bocian,Biblioteka Narodowa - kartoteka autorytatywna
Adam Rychlik,Biblioteka Narodowa - kartoteka autorytatywna
Anna Wieczorkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Heinrich Kurz,Biblioteka Narodowa - kartoteka autorytatywna
Patrycja Pokora,Biblioteka Narodowa - kartoteka autorytatywna
Marie-Hélène Huet,Biblioteka Narodowa - kartoteka autorytatywna
Edward Smajdor,Biblioteka Narodowa - kartoteka autorytatywna
Étienne Dolet,Biblioteka Narodowa - kartoteka autorytatywna
Mary Snell-Hornby,Biblioteka Narodowa - kartoteka autorytatywna
Krzysztof Obremski,Biblioteka Narodowa - kartoteka autorytatywna
Anna Mik,Biblioteka Narodowa - kartoteka autorytatywna
Xavier Barceló Pinya,Biblioteka Narodowa - kartoteka autorytatywna
Julian Maliszewski,Biblioteka Narodowa - kartoteka autorytatywna
Jędrzej Krystek,Biblioteka Narodowa - kartoteka autorytatywna
Anna Skolimowska,Biblioteka Narodowa - kartoteka autorytatywna
Dale B. Martin,Biblioteka Narodowa - kartoteka autorytatywna
Krzysztof Tkaczyk,Biblioteka Narodowa - kartoteka autorytatywna
Halina Stankowska,Biblioteka Narodowa - kartoteka autorytatywna
Tadeusz Witczak,Biblioteka Narodowa - kartoteka autorytatywna
Teresa Tyszkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Mariusz Tomiczek,Biblioteka Narodowa - kartoteka autorytatywna
Gjoko Zdraveski,Biblioteka Narodowa - kartoteka autorytatywna
Orislava Âroslavìvna Bris'ka,Biblioteka Narodowa - kartoteka autorytatywna
Amy Schmidt,Biblioteka Narodowa - kartoteka autorytatywna
Monika Estermann,Biblioteka Narodowa - kartoteka autorytatywna
Robert Petsch,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Habich,Biblioteka Narodowa - kartoteka autorytatywna
Kamil Pawlak,Biblioteka Narodowa - kartoteka autorytatywna
Anastasia Telaak,Biblioteka Narodowa - kartoteka autorytatywna
Joanna Górnikiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Anna Wołosiak-Tomaszewska,Biblioteka Narodowa - kartoteka autorytatywna
Francesco Mazzoni,Biblioteka Narodowa - kartoteka autorytatywna
Paul Fechter,Biblioteka Narodowa - kartoteka autorytatywna
Kazimierz Mamczar,Biblioteka Narodowa - kartoteka autorytatywna
Momme Mommsen,Biblioteka Narodowa - kartoteka autorytatywna
Moisej Semenovič Al'tman,Biblioteka Narodowa - kartoteka autorytatywna
Hyacinth Holland,Biblioteka Narodowa - kartoteka autorytatywna
Ǧamīla al- Waslātī,Biblioteka Narodowa - kartoteka autorytatywna
Ìryna Samatoj,Biblioteka Narodowa - kartoteka autorytatywna
Adam Gillon,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Furmanik,Biblioteka Narodowa - kartoteka autorytatywna
Karla Reimert,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Kłusek,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Starnawski,Biblioteka Narodowa - kartoteka autorytatywna
Przemysław Staniewski,Biblioteka Narodowa - kartoteka autorytatywna
Neil Bermel,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Abramovič Isbah,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Mrozek,Biblioteka Narodowa - kartoteka autorytatywna
Regina Kantarska-Koper,Biblioteka Narodowa - kartoteka autorytatywna
Jiří Muryc,Biblioteka Narodowa - kartoteka autorytatywna
Adam Kalbarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Jassem,Biblioteka Narodowa - kartoteka autorytatywna
Hermann Frohberger,Biblioteka Narodowa - kartoteka autorytatywna
Maria Grabowska,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Maciejewska-Stępień,Biblioteka Narodowa - kartoteka autorytatywna
