entity,source
Antoine Étienne Fantin-Desodoards,Biblioteka Narodowa - kartoteka autorytatywna
Soňa Hollá,Biblioteka Narodowa - kartoteka autorytatywna
Iwona Dąbrowska,Biblioteka Narodowa - kartoteka autorytatywna
Martin R. Čejka,Biblioteka Narodowa - kartoteka autorytatywna
Ignacy Nikorowicz,Biblioteka Narodowa - kartoteka autorytatywna
L. Miński,Biblioteka Narodowa - kartoteka autorytatywna
Yehudah ibn Tibon,Biblioteka Narodowa - kartoteka autorytatywna
Franz Evers,Biblioteka Narodowa - kartoteka autorytatywna
Costanzo Ferrari,Biblioteka Narodowa - kartoteka autorytatywna
Stefan Purman,Biblioteka Narodowa - kartoteka autorytatywna
Dobromir Ziarniak,Biblioteka Narodowa - kartoteka autorytatywna
Maria Rychterówna,Biblioteka Narodowa - kartoteka autorytatywna
Dacia Maraini,Biblioteka Narodowa - kartoteka autorytatywna
Danuta Ćirlić-Straszyńska,Biblioteka Narodowa - kartoteka autorytatywna
Piotr W. Cholewa,Biblioteka Narodowa - kartoteka autorytatywna
Antje Rávic Strubel,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Buda-Rodriguez,Biblioteka Narodowa - kartoteka autorytatywna
Bolesław Wójcicki,Biblioteka Narodowa - kartoteka autorytatywna
A. Heyman,Biblioteka Narodowa - kartoteka autorytatywna
Marta Jamrógiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Ìrina Mikolaïvna Dacenko,Biblioteka Narodowa - kartoteka autorytatywna
Vladimír Blaho,Biblioteka Narodowa - kartoteka autorytatywna
Laurent Berthel,Biblioteka Narodowa - kartoteka autorytatywna
Rafał Bukowicz,Biblioteka Narodowa - kartoteka autorytatywna
Sara Suárez Solís,Biblioteka Narodowa - kartoteka autorytatywna
Marta Jakubowska,Biblioteka Narodowa - kartoteka autorytatywna
Sylwia Drozd,Biblioteka Narodowa - kartoteka autorytatywna
Marco Sonzogni,Biblioteka Narodowa - kartoteka autorytatywna
Henryk Leśniewski,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Jakimowicz,Biblioteka Narodowa - kartoteka autorytatywna
Włodzimierz Kałuba,Biblioteka Narodowa - kartoteka autorytatywna
Gabriela Spustová Izakovičová,Biblioteka Narodowa - kartoteka autorytatywna
Jana Chalaniová,Biblioteka Narodowa - kartoteka autorytatywna
M. L. Auerbach,Biblioteka Narodowa - kartoteka autorytatywna
Anatolij Gavrilovič Malâvkin,Biblioteka Narodowa - kartoteka autorytatywna
Miroslav Zumrík,Biblioteka Narodowa - kartoteka autorytatywna
Nurcan İnce Ateş,Biblioteka Narodowa - kartoteka autorytatywna
Armand Petitjean,Biblioteka Narodowa - kartoteka autorytatywna
Gemma Rovira Ortega,Biblioteka Narodowa - kartoteka autorytatywna
Alicja Maciejewska,Biblioteka Narodowa - kartoteka autorytatywna
Wasyl Machno,Biblioteka Narodowa - kartoteka autorytatywna
Wojciech Gomoliński,Biblioteka Narodowa - kartoteka autorytatywna
Walter Stanley Hett,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Małecka,Biblioteka Narodowa - kartoteka autorytatywna
Elisenda Bohigas,Biblioteka Narodowa - kartoteka autorytatywna
Jadwiga Jarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Zofia Ernstowa,Biblioteka Narodowa - kartoteka autorytatywna
Janez Gradišnik,Biblioteka Narodowa - kartoteka autorytatywna
Grażyna Szewczyk,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Szanciło,Biblioteka Narodowa - kartoteka autorytatywna
Maria Ginter,Biblioteka Narodowa - kartoteka autorytatywna
Irena Wojnar,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Woroszylski,Biblioteka Narodowa - kartoteka autorytatywna
Jacek Woźniakowski,Biblioteka Narodowa - kartoteka autorytatywna
Jakub Wujek,Biblioteka Narodowa - kartoteka autorytatywna
Ioan-Aurel Preda,Biblioteka Narodowa - kartoteka autorytatywna
Muḥammad Ḥilmī ar- Rīša,Biblioteka Narodowa - kartoteka autorytatywna
Lev L'vovič Karbon'er,Biblioteka Narodowa - kartoteka autorytatywna
Ada Marie Kay,Biblioteka Narodowa - kartoteka autorytatywna
Gonçalo Neves,Biblioteka Narodowa - kartoteka autorytatywna
Nives Fabečić Bojić,Biblioteka Narodowa - kartoteka autorytatywna
Olga Vučetić,Biblioteka Narodowa - kartoteka autorytatywna
Vilém Závada,Biblioteka Narodowa - kartoteka autorytatywna
Anna M. Giera,Biblioteka Narodowa - kartoteka autorytatywna
Barbara Chęcińska,Biblioteka Narodowa - kartoteka autorytatywna
Bohdan Polak,Biblioteka Narodowa - kartoteka autorytatywna
Martin Kuchař,Biblioteka Narodowa - kartoteka autorytatywna
Paweł Grochowski,Biblioteka Narodowa - kartoteka autorytatywna
Malwina Ogonowska,Biblioteka Narodowa - kartoteka autorytatywna
Burke Barrett,Biblioteka Narodowa - kartoteka autorytatywna
Weronika Brewczyńska,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Bata-Bocian,Biblioteka Narodowa - kartoteka autorytatywna
Zygmunt Wójcik,Biblioteka Narodowa - kartoteka autorytatywna
Roberto Lanzi,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Aleksander Wereszczyński,Biblioteka Narodowa - kartoteka autorytatywna
Jan Hambura,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Krasnodębska,Biblioteka Narodowa - kartoteka autorytatywna
Antoni Jakubowicz,Biblioteka Narodowa - kartoteka autorytatywna
Beata Hłasko,Biblioteka Narodowa - kartoteka autorytatywna
Daniel Kamieniecki,Biblioteka Narodowa - kartoteka autorytatywna
Étienne Dolet,Biblioteka Narodowa - kartoteka autorytatywna
Nadija Łomanowa-Barańska,Biblioteka Narodowa - kartoteka autorytatywna
Natalia Usenko,Biblioteka Narodowa - kartoteka autorytatywna
