term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
a capite,,a capity,,Słownik terminów literackich (Sierotwiński),,
a linea,,a linea,,Słownik terminów literackich (Sierotwiński),,
a posteriori,,a posteriori,,Słownik terminów literackich (Sierotwiński),,
a priori,,a priori,,Słownik terminów literackich (Sierotwiński),,
abecadło,,abecadło,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
abecedariusz,,abecedariusz,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
abele spelen,,abele spelen,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
abrakadabra,,abrakadabra,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
abrewiacja,,abrewiacja,,Słownik terminów literackich (Sierotwiński),,
abrewiatura,,abrewiatura,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
absolucja,,absolucja,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
abstract,,abstract,,Słownik Terminów Literackich (Głowiński),,
abstrakcja,,abstrakcja,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
abstrakcjonizm,,abstrakcjonizm,,"Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
abstrakt,,abstrakt,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
absurd,,absurd,,"Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis)",,
abusio,,abusio,,Słownik Terminów Literackich (Głowiński),,
accessus ad auctores,,accessus ad auctores,,Słownik Terminów Literackich (Głowiński),,
accumulatio,,accumulatio,,Słownik terminów literackich (Sierotwiński),,
accusativus tromtadraticus,,accusativus tromtadraticus,,Słownik terminów literackich (Sierotwiński),,
acta martyrium,acta martyrum,acta martyrium,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
acta martyrum,,acta martyrum,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
actio,,actio,,Słownik Terminów Literackich (Głowiński),,
acutum,,acutum,,Słownik Terminów Literackich (Głowiński),,
ad spectatores,,ad spectatores,,Słownik terminów teatralnych (Patrice Pavis),,
ad usum delphini,,ad usum delphini,,Słownik terminów literackich (Sierotwiński),,
adagium,,adagium,,Słownik Terminów Literackich (Głowiński),,
adamizm,,adamizm,,Słownik terminów literackich (Sierotwiński),,
adaptacja,,adaptacja,,Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
adaptacja dzieła,,adaptacja dzieło,,Słownik terminów literackich (Sierotwiński),,
adaptacja filmowa,,adaptacja filmowy,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,,
adaptacja sceniczna,,adaptacja sceniczny,,Słownik pojęć i tekstów kultury,,
adaptacja teatralna,,adaptacja teatralny,,Słownik pojęć i tekstów kultury,,
adbortatio,,adbortatio,,Słownik Terminów Literackich (Głowiński),,
addenda,,addenda,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
addubitatio,,addubitatio,,Słownik Terminów Literackich (Głowiński),,
adideacja,,adideacja,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
adiunctio,,adiunctio,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
adiunkcja,,adiunkcja,,Słownik terminów literackich (Sierotwiński),,
adiustacja,,adiustacja,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
adnotacja,,adnotacja,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
adoksografia,,adoksografia,,Słownik Terminów Literackich (Głowiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810644148105606,http://www.wikidata.org/entity/Q4684656
adonidion,,adonidion,,Słownik Terminów Literackich (Głowiński),,
adonik,,adonik,,Słownik terminów literackich (Sierotwiński),,
adonius,,adonius,,Słownik Terminów Literackich (Głowiński),,
adres,,adres,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
adres do publiczności,,adres do publiczność,,Słownik terminów teatralnych (Patrice Pavis),,
adres wydawniczy,,adres wydawniczy,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
adresat,,adresat,,Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
adresat liryczny,,adresat liryczny,,Słownik terminów literackich (Sierotwiński),,
adresat wirtualny,,adresat wirtualny,,Słownik pojęć i tekstów kultury,,
adynata,,adynata,,Słownik Terminów Literackich (Głowiński),,
aequidicum,,aequidicum,,Słownik Terminów Literackich (Głowiński),,
afabularny,,afabularny,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
afektacja,,afektacja,,Słownik terminów literackich (Sierotwiński),,
afereza,,afereza,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
affecitivum,,affecitivum,,Słownik terminów literackich (Sierotwiński),,
afiks,,afiks,,Słownik terminów literackich (Sierotwiński),,
afirmatywny gest dekonstrukcji,,afirmatywny gest dekonstrukcja,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
afisz,,afisz,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
afodos,,afodos,,Słownik Terminów Literackich (Głowiński),,
aforystyczność,,aforystyczność,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
aforystyczny,,aforystyczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
