concept;prefLabel;altLabel;relatedMatch;exactMatch
http://example.org/skos/ELB_concept_1;anthology;Antologia', 'antologiat', 'antologie';;https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118523', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1000177', 'http://www.yso.fi/onto/yso/p10123', 'http://www.wikidata.org/entity/Q105420'
http://example.org/skos/ELB_concept_2;article;artikkeli', 'artikkelit', 'Artykuły', 'články';https://data.bn.org.pl/api/institutions/authorities.json?id=1000000693616', 'http://www.yso.fi/onto/yso/p18946', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581369', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3020715', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581376', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3596007', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph123338', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581371', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128084', 'http://www.yso.fi/onto/yso/p1018', 'http://www.yso.fi/onto/yso/p20005', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3595965', 'http://www.yso.fi/onto/yso/p10115', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3595889', 'http://www.yso.fi/onto/yso/p20342', 'http://www.wikidata.org/entity/Q871232', 'http://www.wikidata.org/entity/Q30070590', 'http://www.wikidata.org/entity/Q5707594', 'http://www.wikidata.org/entity/Q267628', 'http://www.wikidata.org/entity/Q191067', 'http://www.wikidata.org/entity/Q10436275';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128186', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2272831', 'http://www.wikidata.org/entity/Q191067'
http://example.org/skos/ELB_concept_3;autobiographical literature;autobiografická literatura', 'Literatura autobiograficzna';;
http://example.org/skos/ELB_concept_4;autobiographical novel;Autobiografický román', 'Novela autobiográfica', 'omaelämäkerrallinen romaani', 'Powieść  autobiograficzna', 'Powieść autobiograficzna';;https://data.bn.org.pl/api/institutions/authorities.json?id=3643330'
http://example.org/skos/ELB_concept_5;autobiography;Autobiografia', 'Autobiografía', 'Autobiografías', 'autobiografie', 'Autobiografie', 'autobiographies', 'omaelämäkerrallisuus';;https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114096', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581528', 'http://www.yso.fi/onto/yso/p16155', 'http://www.wikidata.org/entity/Q4184'
http://example.org/skos/ELB_concept_6;ballad;balada', 'Baladas', 'ballads';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph138714', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118731', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph222837', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph451052', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3573418', 'http://www.yso.fi/onto/yso/p38458', 'http://www.wikidata.org/entity/Q1221179', 'http://www.wikidata.org/entity/Q116690343', 'http://www.wikidata.org/entity/Q241501', 'http://www.wikidata.org/entity/Q182659';
http://example.org/skos/ELB_concept_7;biographical literature;biografická literatura', 'literatura životopisná';;
http://example.org/skos/ELB_concept_8;biographical novel;biografické romány', 'elämäkertaromaanit', 'životopisné romány';;http://www.yso.fi/onto/yso/p17968', 'http://www.wikidata.org/entity/Q11163999', 'http://www.wikidata.org/entity/Q131539'
http://example.org/skos/ELB_concept_9;biography;Biografia', 'Biografía', 'Biografías', 'biografie', 'Biografie', 'biografistika', 'biography', 'elämäkerrat';https://data.bn.org.pl/api/institutions/authorities.json?id=1007271', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1250305', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581397';http://www.yso.fi/onto/yso/p11597', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114155', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1017314', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1000510', 'http://www.wikidata.org/entity/Q36279', 'http://www.wikidata.org/entity/Q9171867'
http://example.org/skos/ELB_concept_10;booklet;Broszura';;https://data.bn.org.pl/api/institutions/authorities.json?id=3742506'
http://example.org/skos/ELB_concept_11;catalog;Katalog', 'katalog';https://data.bn.org.pl/api/institutions/authorities.json?id=1002886', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph202208', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph137495', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2467409', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2375619', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2434037', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1190794', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph135450', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1002882', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph397761', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph397760', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2371203', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2370396', 'http://www.wikidata.org/entity/Q47114558', 'http://www.wikidata.org/entity/Q1991865';https://data.bn.org.pl/api/institutions/authorities.json?id=1002878'
http://example.org/skos/ELB_concept_12;children's literature;dětská literatura', 'lastenkirjallisuus', 'Literatura dla dzieci', 'Literatura dziecięca', 'Literatura infantil';https://data.bn.org.pl/api/institutions/authorities.json?id=1003648', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph138316', 'https://datos.bne.es/tema/XX544201', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119713', 'http://www.wikidata.org/entity/Q11163999', 'http://www.wikidata.org/entity/Q131539';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph572587', 'http://www.yso.fi/onto/yso/p4742', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1003648'
http://example.org/skos/ELB_concept_13;children's literature, youth literature;;;
http://example.org/skos/ELB_concept_14;children's lyric;"""children's lyric""";;
