concept;prefLabel;narrowMatch;broadMatch;closeMatch;altLabel
http://example.org/skos/libri_thesauri_2062;liturgical book;http://example.org/concepts/libri_thesauri_5084,http://example.org/concepts/libri_thesauri_1483,http://example.org/concepts/libri_thesauri_1982,http://example.org/concepts/libri_thesauri_1258,http://example.org/concepts/libri_thesauri_627,http://example.org/concepts/libri_thesauri_10994,http://example.org/concepts/libri_thesauri_2510,http://example.org/concepts/libri_thesauri_4725,http://example.org/concepts/libri_thesauri_2126,http://example.org/concepts/libri_thesauri_3099,http://example.org/concepts/libri_thesauri_347,http://example.org/concepts/libri_thesauri_2696;http://example.org/concepts/libri_thesauri_2064;http://www.wikidata.org/entity/Q3831847,https://id.loc.gov/authorities/genreForms/gf2015026039,https://datos.bne.es/tema/XX4843177,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph115161;liturgické knihy@cs,Libros litúrgicos@es
http://example.org/skos/libri_thesauri_216;adoxography;;;http://www.wikidata.org/entity/Q4684656,https:/bn-lit-skos.lab.dariah.pl/scheme/Adoksografia;Adoksografia@pl
http://example.org/skos/libri_thesauri_204;Biblia pauperum;;;http://www.wikidata.org/entity/Q681856,https:/bn-lit-skos.lab.dariah.pl/scheme/Biblia_pauperum;Biblia_pauperum@pl
http://example.org/skos/libri_thesauri_585;biographistics;http://example.org/concepts/libri_thesauri_2837;http://example.org/concepts/libri_thesauri_2049,http://example.org/concepts/libri_thesauri_4758,http://example.org/concepts/libri_thesauri_7200;http://www.wikidata.org/entity/Q9171867,https:/bn-lit-skos.lab.dariah.pl/scheme/Biografistyka,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1017314;biografistika@cs,Biografistyka@pl
http://example.org/skos/libri_thesauri_203;Blason;;;http://www.wikidata.org/entity/Q99662268,https:/bn-lit-skos.lab.dariah.pl/scheme/Blason;Blason@pl
http://example.org/skos/libri_thesauri_202;cento;;http://example.org/concepts/libri_thesauri_10520,http://example.org/concepts/libri_thesauri_2574,http://example.org/concepts/libri_thesauri_3025;http://www.wikidata.org/entity/Q568286,https:/bn-lit-skos.lab.dariah.pl/scheme/Centon;Centon@pl
http://example.org/skos/libri_thesauri_196;Diaries;;;http://www.wikidata.org/entity/Q25415538,https:/bn-lit-skos.lab.dariah.pl/scheme/Dzienniki;Dzienniki@pl
http://example.org/skos/libri_thesauri_4031;elegy;;http://example.org/concepts/libri_thesauri_5706,http://example.org/concepts/libri_thesauri_9975;http://www.wikidata.org/entity/Q174864,http://www.yso.fi/onto/yso/p10201,https:/bn-lit-skos.lab.dariah.pl/scheme/Elegia,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph566138;elegiat (runot)@fi,elegie (literatura)@cs,Elegia@pl
http://example.org/skos/libri_thesauri_193;elf in a work of fiction;;;http://www.wikidata.org/entity/Q3050815,https:/bn-lit-skos.lab.dariah.pl/scheme/Elfy;Elfy@pl
http://example.org/skos/libri_thesauri_188;Il mondo nuovo;;;http://www.wikidata.org/entity/Q28125626,https:/bn-lit-skos.lab.dariah.pl/scheme/Epos;Epos@pl
